cd_setor,cep,nm_municipio,qtd_ceps_no_setor,qtd_enderecos_setor_cep,total_enderecos_no_setor,renda_v06004,renda_v06005
354390705000002,13500144,Rio Claro,11,86,476,5350.85,39351392.7
354390705000002,13500360,Rio Claro,11,80,476,5350.85,39351392.7
354390705000002,13500050,Rio Claro,11,67,476,5350.85,39351392.7
354390705000002,13500350,Rio Claro,11,57,476,5350.85,39351392.7
354390705000002,13500090,Rio Claro,11,36,476,5350.85,39351392.7
354390705000002,13500145,Rio Claro,11,35,476,5350.85,39351392.7
354390705000002,13500143,Rio Claro,11,29,476,5350.85,39351392.7
354390705000002,13500370,Rio Claro,11,29,476,5350.85,39351392.7
354390705000002,13500040,Rio Claro,11,24,476,5350.85,39351392.7
354390705000002,13500100,Rio Claro,11,24,476,5350.85,39351392.7
